PLAYER,SEASON,TEAM
Pol Lozano,2021-2022,Girona
Pol Lozano,2022-2023,Granada
Pol Lozano,2022-2023,Espanyol
Pol Lozano,2023-2024,Espanyol
Pol Lozano,2024-2025,Espanyol
Pol Lozano,2025-2026,Espanyol
Raphinha,2015-2016,Avaí
Raphinha,2015-2016,Vitória Guimarães
Raphinha,2016-2017,Vitória Guimarães
Raphinha,2017-2018,Vitória Guimarães
Raphinha,2018-2019,Sporting CP
Raphinha,2019-2020,Sporting CP
Raphinha,2019-2020,Rennes
Raphinha,2020-2021,Rennes
Raphinha,2020-2021,Leeds United
Raphinha,2021-2022,Leeds United
Raphinha,2022-2023,Barcelona
Raphinha,2023-2024,Barcelona
Raphinha,2024-2025,Barcelona
Raphinha,2025-2026,Barcelona
Raúl Albiol,2004-2005,Getafe
Raúl Albiol,2005-2006,Valencia
Raúl Albiol,2006-2007,Valencia
Raúl Albiol,2007-2008,Valencia
Raúl Albiol,2008-2009,Valencia
Raúl Albiol,2009-2010,Real Madrid
Raúl Albiol,2010-2011,Real Madrid
Raúl Albiol,2011-2012,Real Madrid
Raúl Albiol,2012-2013,Real Madrid
Raúl Albiol,2013-2014,Napoli
Raúl Albiol,2014-2015,Napoli
Raúl Albiol,2015-2016,Napoli
Raúl Albiol,2016-2017,Napoli
Raúl Albiol,2017-2018,Napoli
Raúl Albiol,2018-2019,Napoli
Raúl Albiol,2019-2020,Villarreal
Raúl Albiol,2020-2021,Villarreal
Raúl Albiol,2021-2022,Villarreal
Raúl Albiol,2022-2023,Villarreal
Raúl Albiol,2023-2024,Villarreal
Raúl Albiol,2024-2025,Villarreal
Raúl Albiol,2025-2026,Pisa
Raúl Asencio,2024-2025,Real Madrid
Raúl Asencio,2025-2026,Real Madrid
Reinildo Mandava,2018-2019,B-SAD
Reinildo Mandava,2018-2019,Lille
Reinildo Mandava,2019-2020,Lille
Reinildo Mandava,2020-2021,Lille
Reinildo Mandava,2021-2022,Lille
Reinildo Mandava,2021-2022,Atlético Madrid
Reinildo Mandava,2022-2023,Atlético Madrid
Reinildo Mandava,2023-2024,Atlético Madrid
Reinildo Mandava,2024-2025,Atlético Madrid
Reinildo Mandava,2025-2026,Sunderland
Renato Tapia,2013-2014,Jong Twente
Renato Tapia,2014-2015,Jong Twente
Renato Tapia,2014-2015,Twente
Renato Tapia,2015-2016,Twente
Renato Tapia,2015-2016,Feyenoord
Renato Tapia,2016-2017,Feyenoord
Renato Tapia,2017-2018,Feyenoord
Renato Tapia,2018-2019,Willem II
Renato Tapia,2018-2019,Feyenoord
Renato Tapia,2019-2020,Feyenoord
Renato Tapia,2020-2021,Celta Vigo
Renato Tapia,2021-2022,Celta Vigo
Renato Tapia,2022-2023,Celta Vigo
Renato Tapia,2023-2024,Celta Vigo
Renato Tapia,2024-2025,Leganés
Robert Lewandowski,2008-2009,Lech Poznań
Robert Lewandowski,2009-2010,Lech Poznań
Robert Lewandowski,2010-2011,Borussia Dortmund
Robert Lewandowski,2011-2012,Borussia Dortmund
Robert Lewandowski,2012-2013,Borussia Dortmund
Robert Lewandowski,2013-2014,Borussia Dortmund
Robert Lewandowski,2014-2015,Bayern Munich
Robert Lewandowski,2015-2016,Bayern Munich
Robert Lewandowski,2016-2017,Bayern Munich
Robert Lewandowski,2017-2018,Bayern Munich
Robert Lewandowski,2018-2019,Bayern Munich
Robert Lewandowski,2019-2020,Bayern Munich
Robert Lewandowski,2020-2021,Bayern Munich
Robert Lewandowski,2021-2022,Bayern Munich
Robert Lewandowski,2022-2023,Barcelona
Robert Lewandowski,2023-2024,Barcelona
Robert Lewandowski,2024-2025,Barcelona
Robert Lewandowski,2025-2026,Barcelona
Robin Le Normand,2015-2016,Brest
Robin Le Normand,2018-2019,Real Sociedad
Robin Le Normand,2019-2020,Real Sociedad
Robin Le Normand,2020-2021,Real Sociedad
Robin Le Normand,2021-2022,Real Sociedad
Robin Le Normand,2022-2023,Real Sociedad
Robin Le Normand,2023-2024,Real Sociedad
Robin Le Normand,2024-2025,Atlético Madrid
Robin Le Normand,2025-2026,Atlético Madrid
Rodri,2019-2020,Real Betis
Rodri,2020-2021,Real Betis
Rodri,2021-2022,Real Betis
Rodri,2022-2023,Real Betis
Rodri,2023-2024,Real Betis
Rodri,2024-2025,Real Betis
Rodrigo De Paul,2014-2015,Valencia
Rodrigo De Paul,2015-2016,Valencia
Rodrigo De Paul,2016-2017,Racing Club
Rodrigo De Paul,2016-2017,Udinese
Rodrigo De Paul,2017-2018,Udinese
Rodrigo De Paul,2018-2019,Udinese
Rodrigo De Paul,2019-2020,Udinese
Rodrigo De Paul,2020-2021,Udinese
Rodrigo De Paul,2021-2022,Atlético Madrid
Rodrigo De Paul,2022-2023,Atlético Madrid
Rodrigo De Paul,2023-2024,Atlético Madrid
Rodrigo De Paul,2024-2025,Atlético Madrid
Rodrigo De Paul,2025-2026,Inter Miami
Rodrigo De Paul,2026-2027,Inter Miami
Rodrygo,2017-2018,Santos
Rodrygo,2018-2019,Santos
Rodrygo,2019-2020,Santos
Rodrygo,2019-2020,Real Madrid
Rodrygo,2020-2021,Real Madrid
Rodrygo,2021-2022,Real Madrid
Rodrygo,2022-2023,Real Madrid
Rodrygo,2023-2024,Real Madrid
Rodrygo,2024-2025,Real Madrid
Rodrygo,2025-2026,Real Madrid
Romain Perraud,2017-2018,Nice
Romain Perraud,2018-2019,Nice
Romain Perraud,2018-2019,Paris FC
Romain Perraud,2019-2020,Brest
Romain Perraud,2020-2021,Brest
Romain Perraud,2021-2022,Southampton
Romain Perraud,2022-2023,Southampton
Romain Perraud,2023-2024,Southampton
Romain Perraud,2023-2024,Nice
Romain Perraud,2024-2025,Real Betis
Romain Perraud,2025-2026,Lille
Rubén Peña,2012-2013,Valladolid
Rubén Peña,2014-2015,Leganés
Rubén Peña,2015-2016,Leganés
Rubén Peña,2016-2017,Eibar
Rubén Peña,2017-2018,Eibar
Rubén Peña,2018-2019,Eibar
Rubén Peña,2019-2020,Villarreal
Rubén Peña,2020-2021,Villarreal
Rubén Peña,2021-2022,Villarreal
Rubén Peña,2022-2023,Osasuna
Rubén Peña,2023-2024,Osasuna
Rubén Peña,2024-2025,Osasuna
Rubén Peña,2025-2026,Leganés
Rui Silva,2013-2014,Nacional
Rui Silva,2014-2015,Nacional
Rui Silva,2015-2016,Nacional
Rui Silva,2016-2017,Nacional
Rui Silva,2017-2018,Granada
Rui Silva,2018-2019,Granada
Rui Silva,2019-2020,Granada
Rui Silva,2020-2021,Granada
Rui Silva,2021-2022,Real Betis
Rui Silva,2022-2023,Real Betis
Rui Silva,2023-2024,Real Betis
Rui Silva,2024-2025,Real Betis
Rui Silva,2024-2025,Sporting CP
Rui Silva,2025-2026,Sporting CP
Samu Costa,2019-2020,Braga
Samu Costa,2020-2021,Almería
Samu Costa,2021-2022,Almería
Samu Costa,2022-2023,Almería
Samu Costa,2023-2024,Mallorca
Samu Costa,2024-2025,Mallorca
Samu Costa,2025-2026,Mallorca
Sandro Ramírez,2013-2014,Barcelona B
Sandro Ramírez,2014-2015,Barcelona B
Sandro Ramírez,2014-2015,Barcelona
Sandro Ramírez,2015-2016,Barcelona
Sandro Ramírez,2016-2017,Málaga
Sandro Ramírez,2017-2018,Sevilla
Sandro Ramírez,2017-2018,Everton
Sandro Ramírez,2018-2019,Everton
Sandro Ramírez,2018-2019,Real Sociedad
Sandro Ramírez,2019-2020,Valladolid
Sandro Ramírez,2020-2021,Huesca
Sandro Ramírez,2021-2022,Getafe
Sandro Ramírez,2022-2023,Las Palmas
Sandro Ramírez,2023-2024,Las Palmas
Sandro Ramírez,2024-2025,Las Palmas
Sandro Ramírez,2025-2026,Las Palmas
Santi Comesaña,2016-2017,Rayo Vallecano
Santi Comesaña,2017-2018,Rayo Vallecano
Santi Comesaña,2018-2019,Rayo Vallecano
Santi Comesaña,2019-2020,Rayo Vallecano
Santi Comesaña,2020-2021,Rayo Vallecano
Santi Comesaña,2021-2022,Rayo Vallecano
Santi Comesaña,2022-2023,Rayo Vallecano
Santi Comesaña,2023-2024,Villarreal
Santi Comesaña,2024-2025,Villarreal
Santi Comesaña,2025-2026,Villarreal
Santiago Mouriño,2023-2024,Racing
Santiago Mouriño,2023-2024,Zaragoza
Santiago Mouriño,2024-2025,Alavés
Santiago Mouriño,2025-2026,Villarreal
Scott McKenna,2014-2015,Aberdeen
Scott McKenna,2015-2016,Aberdeen
Scott McKenna,2015-2016,Alloa Athletic
Scott McKenna,2016-2017,Ayr United
Scott McKenna,2017-2018,Aberdeen
Scott McKenna,2018-2019,Aberdeen
Scott McKenna,2019-2020,Aberdeen
Scott McKenna,2020-2021,Aberdeen
Scott McKenna,2020-2021,Nottingham Forest
Scott McKenna,2021-2022,Nottingham Forest
Scott McKenna,2022-2023,Nottingham Forest
Scott McKenna,2023-2024,Nottingham Forest
Scott McKenna,2023-2024,FC Copenhagen
Scott McKenna,2024-2025,Las Palmas
Scott McKenna,2025-2026,Dinamo Zagreb
Sergi,2019-2020,CD Mirandés
Sergi,2020-2021,Leganés
Sergi,2021-2022,Leganés
Sergi,2022-2023,Leganés
Sergi,2023-2024,Leganés
Sergi,2024-2025,Leganés
Sergi,2025-2026,Al-Riyadh SC
Sergi Cardona,2018-2019,Gimnàstic
Sergi Cardona,2020-2021,Las Palmas
Sergi Cardona,2021-2022,Las Palmas
Sergi Cardona,2022-2023,Las Palmas
Sergi Cardona,2023-2024,Las Palmas
Sergi Cardona,2024-2025,Villarreal
Sergi Cardona,2025-2026,Villarreal
Sergi Darder,2013-2014,Málaga
Sergi Darder,2014-2015,Málaga
Sergi Darder,2015-2016,Málaga
Sergi Darder,2015-2016,Lyon
Sergi Darder,2016-2017,Lyon
Sergi Darder,2017-2018,Lyon
Sergi Darder,2017-2018,Espanyol
Sergi Darder,2018-2019,Espanyol
Sergi Darder,2019-2020,Espanyol
Sergi Darder,2020-2021,Espanyol
Sergi Darder,2021-2022,Espanyol
Sergi Darder,2022-2023,Espanyol
Sergi Darder,2023-2024,Mallorca
Sergi Darder,2024-2025,Mallorca
Sergi Darder,2025-2026,Mallorca
Sergio Gómez,2017-2018,Dortmund
Sergio Gómez,2017-2018,Barcelona B
Sergio Gómez,2018-2019,Dortmund
Sergio Gómez,2019-2020,Huesca
Sergio Gómez,2020-2021,Huesca
Sergio Gómez,2021-2022,Anderlecht
Sergio Gómez,2022-2023,Anderlecht
Sergio Gómez,2022-2023,Manchester City
Sergio Gómez,2023-2024,Manchester City
Sergio Gómez,2024-2025,Real Sociedad
Sergio Gómez,2025-2026,Real Sociedad
Sergio Herrera,2016-2017,Huesca
Sergio Herrera,2017-2018,Osasuna
Sergio Herrera,2018-2019,Osasuna
Sergio Herrera,2019-2020,Osasuna
Sergio Herrera,2020-2021,Osasuna
Sergio Herrera,2021-2022,Osasuna
Sergio Herrera,2022-2023,Osasuna
Sergio Herrera,2023-2024,Osasuna
Sergio Herrera,2024-2025,Osasuna
Sergio Herrera,2025-2026,Osasuna
Sheraldo Becker,2013-2014,Jong Ajax
Sheraldo Becker,2014-2015,Jong Ajax
Sheraldo Becker,2014-2015,Zwolle
Sheraldo Becker,2015-2016,Zwolle
Sheraldo Becker,2016-2017,ADO Den Haag
Sheraldo Becker,2017-2018,ADO Den Haag
Sheraldo Becker,2018-2019,ADO Den Haag
Sheraldo Becker,2019-2020,Union Berlin
Sheraldo Becker,2020-2021,Union Berlin
Sheraldo Becker,2021-2022,Union Berlin
Sheraldo Becker,2022-2023,Union Berlin
Sheraldo Becker,2023-2024,Union Berlin
Sheraldo Becker,2023-2024,Real Sociedad
Sheraldo Becker,2024-2025,Real Sociedad
Sheraldo Becker,2025-2026,Osasuna
Sheraldo Becker,2025-2026,Mainz 05
Stanko Jurić,2018-2019,Hajduk Split
Stanko Jurić,2019-2020,Hajduk Split
Stanko Jurić,2020-2021,Hajduk Split
Stanko Jurić,2021-2022,Parma
Stanko Jurić,2022-2023,Parma
Stanko Jurić,2023-2024,Valladolid
Stanko Jurić,2024-2025,Valladolid
Stanko Jurić,2025-2026,Valladolid
Takefusa Kubo,2017-2018,FC Tokyo
Takefusa Kubo,2018-2019,Yokohama F. Marinos
Takefusa Kubo,2018-2019,FC Tokyo
Takefusa Kubo,2019-2020,FC Tokyo
Takefusa Kubo,2019-2020,Mallorca
Takefusa Kubo,2020-2021,Villarreal
Takefusa Kubo,2020-2021,Getafe
Takefusa Kubo,2021-2022,Mallorca
Takefusa Kubo,2022-2023,Real Sociedad
Takefusa Kubo,2023-2024,Real Sociedad
Takefusa Kubo,2024-2025,Real Sociedad
Takefusa Kubo,2025-2026,Real Sociedad
Takuma Asano,2014-2015,Sanfrecce Hiroshima
Takuma Asano,2015-2016,Sanfrecce Hiroshima
Takuma Asano,2016-2017,Sanfrecce Hiroshima
Takuma Asano,2016-2017,Stuttgart
Takuma Asano,2017-2018,Stuttgart
Takuma Asano,2018-2019,Hannover 96
Takuma Asano,2019-2020,Partizan
Takuma Asano,2020-2021,Partizan
Takuma Asano,2021-2022,Bochum
Takuma Asano,2022-2023,Bochum
Takuma Asano,2023-2024,Bochum
Takuma Asano,2024-2025,Mallorca
Takuma Asano,2025-2026,Mallorca
Thibaut Courtois,2008-2009,Genk
Thibaut Courtois,2010-2011,Genk
Thibaut Courtois,2011-2012,Atlético Madrid
Thibaut Courtois,2012-2013,Atlético Madrid
Thibaut Courtois,2013-2014,Atlético Madrid
Thibaut Courtois,2014-2015,Chelsea
Thibaut Courtois,2015-2016,Chelsea
Thibaut Courtois,2016-2017,Chelsea
Thibaut Courtois,2017-2018,Chelsea
Thibaut Courtois,2018-2019,Real Madrid
Thibaut Courtois,2019-2020,Real Madrid
Thibaut Courtois,2020-2021,Real Madrid
Thibaut Courtois,2021-2022,Real Madrid
Thibaut Courtois,2022-2023,Real Madrid
Thibaut Courtois,2023-2024,Real Madrid
Thibaut Courtois,2024-2025,Real Madrid
Thibaut Courtois,2025-2026,Real Madrid
Thierno Barry,2022-2023,Beveren
Thierno Barry,2023-2024,Basel
Thierno Barry,2024-2025,Basel
Thierno Barry,2024-2025,Villarreal
Thierno Barry,2025-2026,Everton
Tomás Conechny,2016-2017,San Lorenzo
Tomás Conechny,2017-2018,San Lorenzo
Tomás Conechny,2018-2019,Portland Timbers
Tomás Conechny,2018-2019,Timbers 2
Tomás Conechny,2019-2020,Portland Timbers
Tomás Conechny,2019-2020,Timbers 2
Tomás Conechny,2020-2021,Portland Timbers
Tomás Conechny,2020-2021,Timbers 2
Tomás Conechny,2021-2022,Maldonado
Tomás Conechny,2023-2024,Godoy Cruz
Tomás Conechny,2024-2025,Godoy Cruz
Tomás Conechny,2024-2025,Alavés
Tomás Conechny,2025-2026,Racing Club
Tomás Conechny,2026-2027,Racing Club
Umar Sadiq,2014-2015,Spezia
Umar Sadiq,2015-2016,Roma
Umar Sadiq,2016-2017,Roma
Umar Sadiq,2016-2017,Bologna
Umar Sadiq,2017-2018,Torino
Umar Sadiq,2017-2018,NAC Breda
Umar Sadiq,2018-2019,Perugia
Umar Sadiq,2018-2019,Rangers
Umar Sadiq,2019-2020,Partizan
Umar Sadiq,2020-2021,Partizan
Umar Sadiq,2020-2021,Almería
Umar Sadiq,2021-2022,Almería
Umar Sadiq,2022-2023,Almería
Umar Sadiq,2022-2023,Real Sociedad
Umar Sadiq,2023-2024,Real Sociedad
Umar Sadiq,2024-2025,Valencia
Umar Sadiq,2024-2025,Real Sociedad
Umar Sadiq,2025-2026,Valencia
Umar Sadiq,2025-2026,Real Sociedad
Vedat Muriqi,2016-2017,Gençlerbirliği
Vedat Muriqi,2017-2018,Gençlerbirliği
Vedat Muriqi,2018-2019,Rizespor
Vedat Muriqi,2019-2020,Fenerbahçe
Vedat Muriqi,2020-2021,Lazio
Vedat Muriqi,2021-2022,Lazio
Vedat Muriqi,2021-2022,Mallorca
Vedat Muriqi,2022-2023,Mallorca
Vedat Muriqi,2023-2024,Mallorca
Vedat Muriqi,2024-2025,Mallorca
Vedat Muriqi,2025-2026,Mallorca
Vicente Guaita,2008-2009,Valencia
Vicente Guaita,2009-2010,Recreativo
Vicente Guaita,2010-2011,Valencia
Vicente Guaita,2011-2012,Valencia
Vicente Guaita,2012-2013,Valencia
Vicente Guaita,2013-2014,Valencia
Vicente Guaita,2014-2015,Getafe
Vicente Guaita,2015-2016,Getafe
Vicente Guaita,2016-2017,Getafe
Vicente Guaita,2017-2018,Getafe
Vicente Guaita,2018-2019,Crystal Palace
Vicente Guaita,2019-2020,Crystal Palace
Vicente Guaita,2020-2021,Crystal Palace
Vicente Guaita,2021-2022,Crystal Palace
Vicente Guaita,2022-2023,Crystal Palace
Vicente Guaita,2023-2024,Celta Vigo
Vicente Guaita,2024-2025,Celta Vigo
Vinícius Júnior,2017-2018,Flamengo
Vinícius Júnior,2018-2019,Flamengo
Vinícius Júnior,2018-2019,Real Madrid
Vinícius Júnior,2019-2020,Real Madrid
Vinícius Júnior,2020-2021,Real Madrid
Vinícius Júnior,2021-2022,Real Madrid
Vinícius Júnior,2022-2023,Real Madrid
Vinícius Júnior,2023-2024,Real Madrid
Vinícius Júnior,2024-2025,Real Madrid
Vinícius Júnior,2025-2026,Real Madrid
Víctor Meseguer,2020-2021,CD Mirandés
Víctor Meseguer,2021-2022,CD Mirandés
Víctor Meseguer,2022-2023,Granada
Víctor Meseguer,2023-2024,Valladolid
Víctor Meseguer,2024-2025,Racing Santander
Víctor Meseguer,2024-2025,Valladolid
Víctor Meseguer,2025-2026,Valladolid
Walid Cheddira,2022-2023,Bari
Walid Cheddira,2023-2024,Frosinone
Walid Cheddira,2024-2025,Espanyol
Walid Cheddira,2024-2025,Napoli
Walid Cheddira,2025-2026,Napoli
Walid Cheddira,2025-2026,Sassuolo
Walid Cheddira,2025-2026,Lecce
William Carvalho,2010-2011,Sporting CP
William Carvalho,2011-2012,Cercle Brugge
William Carvalho,2012-2013,Cercle Brugge
William Carvalho,2013-2014,Sporting CP
William Carvalho,2014-2015,Sporting CP
William Carvalho,2015-2016,Sporting CP
William Carvalho,2016-2017,Sporting CP
William Carvalho,2017-2018,Sporting CP
William Carvalho,2018-2019,Real Betis
William Carvalho,2019-2020,Real Betis
William Carvalho,2020-2021,Real Betis
William Carvalho,2021-2022,Real Betis
William Carvalho,2022-2023,Real Betis
William Carvalho,2023-2024,Real Betis
William Carvalho,2024-2025,Real Betis
William Carvalho,2025-2026,Pachuca
Williot Swedberg,2021-2022,Hammarby
Williot Swedberg,2022-2023,Hammarby
Williot Swedberg,2022-2023,Celta Vigo
Williot Swedberg,2023-2024,Celta Vigo
Williot Swedberg,2024-2025,Celta Vigo
Williot Swedberg,2025-2026,Celta Vigo
Youssouf Sabaly,2013-2014,Evian
Youssouf Sabaly,2014-2015,Evian
Youssouf Sabaly,2015-2016,Nantes
Youssouf Sabaly,2015-2016,Paris Saint-Germain
Youssouf Sabaly,2016-2017,Bordeaux
Youssouf Sabaly,2017-2018,Bordeaux
Youssouf Sabaly,2018-2019,Bordeaux
Youssouf Sabaly,2019-2020,Bordeaux
Youssouf Sabaly,2020-2021,Bordeaux
Youssouf Sabaly,2021-2022,Real Betis
Youssouf Sabaly,2022-2023,Real Betis
Youssouf Sabaly,2023-2024,Real Betis
Youssouf Sabaly,2024-2025,Real Betis
Yvan Neyou,2016-2017,Laval
Yvan Neyou,2020-2021,Saint-Étienne
Yvan Neyou,2021-2022,Saint-Étienne
Yvan Neyou,2022-2023,Saint-Étienne
Yvan Neyou,2022-2023,Leganés
Yvan Neyou,2023-2024,Leganés
Yvan Neyou,2024-2025,Leganés
Yvan Neyou,2025-2026,Al Okhdood SC
Yvan Neyou,2025-2026,Getafe
Álex Baena,2019-2020,Villarreal
Álex Baena,2020-2021,Villarreal
Álex Baena,2021-2022,Girona
Álex Baena,2022-2023,Villarreal
Álex Baena,2023-2024,Villarreal
Álex Baena,2024-2025,Villarreal
Álex Baena,2025-2026,Atlético Madrid
Álex Remiro,2015-2016,Bilbao B
Álex Remiro,2016-2017,Levante
Álex Remiro,2017-2018,Huesca
Álex Remiro,2019-2020,Real Sociedad
Álex Remiro,2020-2021,Real Sociedad
Álex Remiro,2021-2022,Real Sociedad
Álex Remiro,2022-2023,Real Sociedad
Álex Remiro,2023-2024,Real Sociedad
Álex Remiro,2024-2025,Real Sociedad
Álex Remiro,2025-2026,Real Sociedad
Álex Suárez,2019-2020,Las Palmas
Álex Suárez,2020-2021,Las Palmas
Álex Suárez,2021-2022,Las Palmas
Álex Suárez,2022-2023,Las Palmas
Álex Suárez,2023-2024,Las Palmas
Álex Suárez,2024-2025,Las Palmas
Álex Suárez,2025-2026,Las Palmas
Álvaro Rodríguez,2022-2023,Real Madrid
Álvaro Rodríguez,2023-2024,Real Madrid
Álvaro Rodríguez,2024-2025,Getafe
Álvaro Rodríguez,2025-2026,Elche
Álvaro Tejero,2015-2016,Real Madrid
Álvaro Tejero,2016-2017,Real Madrid
Álvaro Tejero,2017-2018,Real Madrid
Álvaro Tejero,2018-2019,Albacete
Álvaro Tejero,2019-2020,Eibar
Álvaro Tejero,2020-2021,Zaragoza
Álvaro Tejero,2020-2021,Eibar
Álvaro Tejero,2021-2022,Eibar
Álvaro Tejero,2022-2023,Eibar
Álvaro Tejero,2023-2024,Eibar
Álvaro Tejero,2024-2025,Espanyol
Álvaro Tejero,2025-2026,Aris
Éder Militão,2017-2018,São Paulo
Éder Militão,2018-2019,São Paulo
Éder Militão,2018-2019,Porto
Éder Militão,2019-2020,Real Madrid
Éder Militão,2020-2021,Real Madrid
Éder Militão,2021-2022,Real Madrid
Éder Militão,2022-2023,Real Madrid
Éder Militão,2023-2024,Real Madrid
Éder Militão,2024-2025,Real Madrid
Éder Militão,2025-2026,Real Madrid
Óscar Mingueza,2020-2021,Barcelona
Óscar Mingueza,2021-2022,Barcelona
Óscar Mingueza,2022-2023,Celta Vigo
Óscar Mingueza,2023-2024,Celta Vigo
Óscar Mingueza,2024-2025,Celta Vigo
Óscar Mingueza,2025-2026,Celta Vigo
